key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
fused_state_update|4|4096|32|auto|query_chunk_x_kv_head,fused_state_update,4,4096,32,auto,query_chunk_x_kv_head,525.5,502.0,545.0,536.0,534.5,540.0,2.0,2.0,2.0,181.5,180.0,184.5,146.5,144.0,149.0,4.0,4.0,4.0,189.0,188.0,191.0,130.0,130.0,130.5,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|4096|4|auto|query_chunk_x_kv_head,fused_state_update,4,4096,4,auto,query_chunk_x_kv_head,515.0,500.0,528.0,545.0,540.5,549.0,2.0,2.0,2.0,180.0,178.0,181.0,152.0,149.0,155.0,4.0,4.0,4.0,194.0,193.0,197.0,133.0,132.0,135.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|4096|8|auto|query_chunk_x_kv_head,fused_state_update,4,4096,8,auto,query_chunk_x_kv_head,511.0,501.0,527.0,553.0,547.0,557.0,2.0,2.0,4.0,180.0,178.0,183.0,155.0,154.0,156.5,4.0,4.0,4.0,196.0,195.0,197.0,134.0,132.0,134.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|512|16|auto|query_chunk_x_kv_head,fused_state_update,4,512,16,auto,query_chunk_x_kv_head,135.0,133.0,136.0,56.0,55.0,57.0,1.0,1.0,1.5,19.0,18.0,20.0,6.0,6.0,6.0,0.0,0.0,0.0,27.0,27.0,27.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|512|32|auto|query_chunk_x_kv_head,fused_state_update,4,512,32,auto,query_chunk_x_kv_head,137.5,136.0,140.0,58.0,57.0,59.0,1.0,1.0,2.0,20.0,19.0,20.5,7.0,6.0,7.5,0.0,0.0,0.0,28.0,27.0,28.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|512|4|auto|query_chunk_x_kv_head,fused_state_update,4,512,4,auto,query_chunk_x_kv_head,137.0,136.0,139.0,58.5,56.0,60.0,1.0,1.0,2.0,20.0,19.0,22.0,6.0,6.0,7.0,0.0,0.0,0.0,28.0,27.0,28.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|4|512|8|auto|query_chunk_x_kv_head,fused_state_update,4,512,8,auto,query_chunk_x_kv_head,134.0,133.0,135.0,57.0,56.0,59.0,1.0,1.0,1.0,20.0,19.0,20.0,6.0,6.0,7.0,0.0,0.0,0.0,27.0,27.0,28.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|2048|16|auto|query_chunk_x_kv_head,fused_state_update,8,2048,16,auto,query_chunk_x_kv_head,377.0,371.0,390.5,403.0,398.0,408.0,4.0,4.0,4.0,100.0,98.0,102.0,93.5,91.0,95.0,5.0,4.0,5.0,189.0,186.5,190.0,125.0,124.0,126.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|2048|32|auto|query_chunk_x_kv_head,fused_state_update,8,2048,32,auto,query_chunk_x_kv_head,401.0,398.0,406.0,425.0,421.0,427.0,4.0,4.0,4.0,100.0,99.0,102.0,106.0,104.0,107.0,5.0,5.0,5.0,197.0,197.0,198.0,130.0,130.0,130.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|2048|4|auto|query_chunk_x_kv_head,fused_state_update,8,2048,4,auto,query_chunk_x_kv_head,397.0,391.5,399.0,578.0,565.5,582.0,4.0,4.0,4.0,211.0,209.0,215.0,144.0,136.0,146.0,3.0,3.0,3.0,201.0,198.0,204.5,138.0,134.0,139.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|2048|8|auto|query_chunk_x_kv_head,fused_state_update,8,2048,8,auto,query_chunk_x_kv_head,401.0,399.0,402.0,423.0,421.5,425.0,4.0,4.0,4.0,100.0,98.0,102.0,105.0,104.0,106.0,5.0,5.0,5.0,198.0,197.0,199.0,130.0,130.0,131.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|4096|16|auto|query_chunk_x_kv_head,fused_state_update,8,4096,16,auto,query_chunk_x_kv_head,632.0,624.0,646.0,755.0,748.5,759.0,4.0,4.0,4.0,182.0,180.0,184.0,171.0,169.0,174.0,9.0,9.0,9.0,372.5,366.0,376.5,250.0,247.0,251.0,0.0,0.0,0.0,5.0,5.0,6.0,3.0,3.0,3.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|4096|32|auto|query_chunk_x_kv_head,fused_state_update,8,4096,32,auto,query_chunk_x_kv_head,656.5,648.0,659.5,750.0,744.0,763.5,4.0,4.0,4.0,179.0,177.0,181.5,174.5,169.5,177.0,9.0,9.0,9.0,371.5,365.0,375.0,249.0,247.0,251.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,4.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|4096|4|auto|query_chunk_x_kv_head,fused_state_update,8,4096,4,auto,query_chunk_x_kv_head,498.0,491.0,510.0,1039.5,1026.0,1053.0,4.0,4.0,4.0,393.0,387.0,395.0,244.0,237.0,248.5,8.0,7.0,8.0,371.0,367.0,376.0,256.5,254.5,260.0,0.0,0.0,0.0,8.0,7.0,9.0,4.0,3.0,4.0,6.0,6.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|4096|8|auto|query_chunk_x_kv_head,fused_state_update,8,4096,8,auto,query_chunk_x_kv_head,658.0,658.0,660.0,760.0,752.0,771.5,4.0,4.0,5.0,178.0,176.0,180.0,177.0,171.0,180.0,10.0,9.0,10.0,377.0,373.0,380.5,250.5,250.0,252.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|512|16|auto|query_chunk_x_kv_head,fused_state_update,8,512,16,auto,query_chunk_x_kv_head,134.0,134.0,136.0,84.0,84.0,85.0,2.0,2.0,3.0,20.0,19.0,20.0,7.0,6.0,7.0,0.0,0.0,0.0,52.0,52.0,52.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|512|32|auto|query_chunk_x_kv_head,fused_state_update,8,512,32,auto,query_chunk_x_kv_head,126.0,123.0,131.5,83.5,83.0,85.0,2.0,2.0,2.0,19.0,18.0,20.0,7.0,6.0,7.0,0.0,0.0,0.0,51.0,49.0,51.0,30.0,30.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|512|4|auto|query_chunk_x_kv_head,fused_state_update,8,512,4,auto,query_chunk_x_kv_head,134.0,133.0,135.0,121.0,119.0,123.0,4.0,4.0,4.0,41.5,40.5,45.0,19.0,19.0,19.0,0.0,0.0,0.0,52.0,51.0,53.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|8|512|8|auto|query_chunk_x_kv_head,fused_state_update,8,512,8,auto,query_chunk_x_kv_head,134.0,134.0,135.0,85.0,85.0,86.0,2.0,2.0,2.5,19.0,19.0,20.0,7.0,7.0,8.0,0.0,0.0,0.0,52.0,52.0,52.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
