mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
scna-fp16,exp2,tree,on,8,4,20,556.0,556.0,562.25,498.0,561.0,787.5,806.65,758.5,801.0,207.0,151.5,2.0,172.0,167.0,3.0,0.0,0.0,4.0,9.0,131.5,192.0,339.0,231.5,27.24820143884892,1.5953237410071943,1.5548561151079137,1.5285714285714285,1.7360223790322582,1.5142857142857142,1.4875,1.57351222690616
scna-fp16,exp2,tree,on,8,8,20,618.5,618.5,702.0,616.5,659.0,819.0,968.9,816.4875,900.0,356.0,273.0,4.0,131.0,113.5,6.5,4.0,2.0,4.0,8.5,36.5,193.0,244.5,200.5,44.13904607922393,1.7146321746160065,1.810832659660469,1.6934734400181954,1.819140308191403,1.6978021978021978,1.5465488215488217,1.7837507635919365
scna-fp16,exp2,tree,on,8,16,20,1093.0,1093.0,1104.35,1039.9875,1099.0,1336.5,1423.6,1277.5,1358.5,724.0,550.5,8.0,165.0,160.0,10.5,9.0,3.0,10.0,9.0,120.0,192.0,325.0,243.5,50.36596523330284,1.1514181152790486,1.3645928636779505,1.315018315018315,1.4365384615384615,1.3228582117471006,1.3014354066985645,1.4054054054054055
scna-fp16,exp2,tree,on,8,32,20,1846.0,1846.0,1859.1,1838.5,1850.0,2128.5,2188.15,2117.5,2143.0,1439.0,1082.0,14.0,163.5,162.5,23.0,20.0,4.0,20.0,9.0,117.0,192.0,326.0,282.5,58.613217768147344,1.079631635969664,1.2248104008667389,1.2216216216216216,1.2301414581066377,1.2374911909795632,1.2106492293320879,1.2471698113207548
scna-fp16,exp2,tree,on,16,4,20,460.0,460.0,551.2,459.0,462.0,700.0,796.1,699.5,703.0,202.0,158.0,1.0,132.5,118.0,3.0,0.0,0.0,4.0,9.0,42.5,192.0,250.5,240.0,34.34782608695652,1.9282608695652175,1.9891304347826086,1.8566775244299674,1.9967320261437909,1.6914285714285715,1.6457142857142857,1.7092857142857143
scna-fp16,exp2,tree,on,16,8,20,665.0,665.0,761.0,663.0,668.0,932.5,1003.1,929.5,937.5,395.0,313.0,4.0,131.0,120.0,6.5,4.0,2.0,4.0,8.0,43.0,192.0,251.0,267.5,47.067669172932334,1.5947368421052632,1.6706766917293232,1.6225563909774436,1.687218045112782,1.4697050938337801,1.4578441835645677,1.481441635287789
scna-fp16,exp2,tree,on,16,16,20,1185.0,1185.0,1199.1,1147.5,1192.5,1444.5,1506.15,1397.0,1475.0,808.0,632.0,7.0,169.0,168.5,10.5,8.0,2.0,10.0,9.0,130.0,192.0,337.5,259.5,53.333333333333336,1.0620253164556963,1.2767932489451477,1.2682313495389774,1.3443136383829408,1.2907580477673937,1.2640677966101694,1.3399871795725808
scna-fp16,exp2,tree,on,16,32,20,1977.0,1977.0,1987.1,1944.5,1983.5,2249.0,2299.1,2238.5,2262.0,1590.0,1242.0,14.0,155.0,145.0,24.0,20.0,4.0,21.0,10.0,92.5,193.0,300.0,272.0,62.822458270106225,1.0080930703085482,1.2228123419322205,1.2166451253251847,1.2438082091219558,1.2358826144953312,1.214729370008873,1.2442016057091883
scna-fp16,exp2,tree,on,32,4,20,488.5,488.5,496.65000000000003,488.0,490.0,701.5,753.6,700.5,703.0,241.0,200.0,2.0,131.0,108.0,3.0,0.0,0.0,4.0,8.0,31.0,192.0,239.0,213.0,40.941658137154555,1.8157625383828044,1.9887410440122826,1.8924180327868851,1.9938590649284933,1.751247327156094,1.690883190883191,1.7578347578347577
scna-fp16,exp2,tree,on,32,8,20,745.0,745.0,749.1,744.0,746.5,934.0,1049.0,932.5,960.0,478.0,391.0,4.0,131.0,115.0,7.0,4.0,2.0,5.0,8.0,37.0,193.0,246.0,189.0,52.48322147651007,1.423489932885906,1.5483221476510067,1.5281879194630872,1.5570469798657718,1.5503211991434689,1.4946695095948828,1.595710455764075
