mode,function,kernel,pipeline,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,o_scale,o_store,kv_dma_issue,kv_dma_wait,kv_transform,host_elapsed
scna-fp16,exp,direct,off,8,32,19,2413.0,1620.0,1244.0,16.0,376.0,326.0,26.0,24.0,3.0,22.0,0.0,0.0,0.0,2799.0
scna-fp16,exp,direct,off,16,4,0,836.0,266.0,224.0,2.0,279.0,277.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1099.0
scna-fp16,exp,direct,off,16,4,1,855.0,268.0,225.0,2.0,298.0,275.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1095.0
scna-fp16,exp,direct,off,16,4,2,841.0,267.0,225.0,2.0,285.0,275.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1099.0
scna-fp16,exp,direct,off,16,4,3,853.0,266.0,225.0,2.0,297.0,275.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,1092.0
scna-fp16,exp,direct,off,16,4,4,853.0,266.0,225.0,2.0,293.0,279.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,1097.0
scna-fp16,exp,direct,off,16,4,5,853.0,268.0,224.0,2.0,305.0,266.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1174.0
scna-fp16,exp,direct,off,16,4,6,889.0,269.0,225.0,2.0,330.0,276.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,1225.0
scna-fp16,exp,direct,off,16,4,7,912.0,271.0,226.0,2.0,317.0,310.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1190.0
scna-fp16,exp,direct,off,16,4,8,923.0,275.0,227.0,2.0,319.0,315.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1170.0
scna-fp16,exp,direct,off,16,4,9,957.0,273.0,227.0,2.0,340.0,330.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1226.0
scna-fp16,exp,direct,off,16,4,10,944.0,273.0,227.0,2.0,325.0,331.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,1267.0
scna-fp16,exp,direct,off,16,4,11,942.0,270.0,225.0,2.0,321.0,336.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,1219.0
scna-fp16,exp,direct,off,16,4,12,956.0,270.0,225.0,2.0,331.0,341.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1199.0
scna-fp16,exp,direct,off,16,4,13,943.0,269.0,225.0,2.0,341.0,319.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,1187.0
scna-fp16,exp,direct,off,16,4,14,941.0,272.0,226.0,2.0,314.0,341.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1182.0
scna-fp16,exp,direct,off,16,4,15,941.0,272.0,225.0,2.0,341.0,314.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1181.0
scna-fp16,exp,direct,off,16,4,16,945.0,272.0,225.0,2.0,325.0,334.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,1194.0
scna-fp16,exp,direct,off,16,4,17,925.0,273.0,225.0,2.0,310.0,328.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1199.0
