candidate_max_abs,candidate_mode,candidate_nonfinite,candidate_rms,elements,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,max_rel_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,reference_max_abs,reference_mode,reference_nonfinite,reference_rms,relative_l2,ret,rmse,scna_function,scna_kernel,scna_width,warmup
0.0018158,scna-int8,0,0.000691903,3072,64,1,4096,1048576,full,32768,0.00097031,203.655,scna-int8,104,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,1.0415,0,0.000356843,exp2,direct,32,1
0.00379562,scna-int8,0,0.00152402,6144,128,1,4093,2095616,padding,32768,0.00239311,467.442,scna-int8,104,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.16634,0,0.000850713,exp2,direct,32,1
0.00312805,scna-int8,0,0.00140624,6144,128,1,4093,2095616,causal,32768,0.00177001,357.875,scna-int8,88,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.00893,0,0.000717279,exp2,direct,8,1
0.00299835,scna-int8,0,0.00136571,6144,128,1,4093,2095616,full,32768,0.00172572,358.351,scna-int8,88,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.0088,0,0.000697202,exp2,direct,8,1
0.0016079,scna-int8,0,0.000660066,3072,64,1,4096,1048576,full,32768,0.000803303,115.706,scna-int8,88,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.942777,0,0.000323018,exp2,direct,8,1
0.00325394,scna-int8,0,0.00144338,6144,128,1,4093,2095616,padding,32768,0.00185142,271.282,scna-int8,88,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.00829,0,0.000735433,exp2,direct,8,1
0.00337601,scna-int8,0,0.00143635,6144,128,1,4093,2095616,causal,32768,0.00205993,550.423,scna-int8,1096,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.08009,0,0.000767872,exp2,tree,16,1
0.00326157,scna-int8,0,0.00139525,6144,128,1,4093,2095616,full,32768,0.00198893,641.593,scna-int8,1096,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.08188,0,0.000747711,exp2,tree,16,1
0.00170517,scna-int8,0,0.000670432,3072,64,1,4096,1048576,full,32768,0.000871128,179.813,scna-int8,1096,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.976742,0,0.000334655,exp2,tree,16,1
0.00354385,scna-int8,0,0.00147291,6144,128,1,4093,2095616,padding,32768,0.00214134,347.652,scna-int8,1096,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.07627,0,0.000785019,exp2,tree,16,1
