core_o0_bits,head_dim,inv_l0_bits,iters,kv_head,kv_len,kv_size,l0_bits,mask_mode,mask_size,mode,mode_flags,n_heads,n_kv_heads,p0_first_bits,p0_last_bits,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,rowsum0_bits,scaled_o0_bits,scna_function,scna_kernel,scna_width,sum0_first_bits,sum0_last_bits,warmup
0x4339,128,0x1058,1,0,4093,2095616,0x6754,causal,32768,scna-fp16,1220,12,2,0x3b08,0x0,0,3224,10,233856,24576,4,0x6754,0x17d8,exp,tree,16,0x42e72881,0x44ea8206,1
0x435c,128,0x1058,1,0,4093,2095616,0x6757,full,32768,scna-fp16,1220,12,2,0x3b08,0x0,0,3224,10,233856,24576,4,0x6757,0x17fe,exp,tree,16,0x42e72881,0x44eadb96,1
0x3c68,64,0x1088,1,0,4096,1048576,0x6706,full,32768,scna-fp16,1220,12,2,0x3a3b,0x3ab5,0,3224,10,233856,12288,4,0x6706,0x10fe,exp,tree,16,0x42dc0e81,0x44e0c24e,1
0x4339,128,0x1058,1,0,4093,2095616,0x6754,padding,32768,scna-fp16,1220,12,2,0x3b08,0x0,0,3224,10,233856,24576,4,0x6754,0x17d8,exp,tree,16,0x42e72881,0x44ea8206,1
0x42f5,128,0x1084,1,0,4093,2095616,0x6711,causal,32768,scna-fp16,1252,12,2,0x3ac5,0x0,0,3224,10,233856,24576,4,0x6711,0x17db,exp,tree,32,0x42e07781,0x44e217de,1
0x4319,128,0x1084,1,0,4093,2095616,0x6713,full,32768,scna-fp16,1252,12,2,0x3ac5,0x0,0,3224,10,233856,24576,4,0x6713,0x1802,exp,tree,32,0x42e07781,0x44e26fae,1
0x3ba4,64,0x10bc,1,0,4096,1048576,0x66c2,full,32768,scna-fp16,1252,12,2,0x39c0,0x3a5c,0,3224,10,233856,12288,4,0x66c2,0x1086,exp,tree,32,0x42d26081,0x44d840cc,1
0x42f5,128,0x1084,1,0,4093,2095616,0x6711,padding,32768,scna-fp16,1252,12,2,0x3ac5,0x0,0,3224,10,233856,24576,4,0x6711,0x17db,exp,tree,32,0x42e07781,0x44e217de,1
0x4393,128,0x102c,1,0,4093,2095616,0x67a2,causal,32768,scna-fp16,1236,12,2,0x3b62,0x0,0,3224,10,233856,24576,4,0x67a2,0x17e6,exp,tree,8,0x42f01981,0x44f4321e,1
0x43b6,128,0x1028,1,0,4093,2095616,0x67a4,full,32768,scna-fp16,1236,12,2,0x3b62,0x0,0,3224,10,233856,24576,4,0x67a4,0x1802,exp,tree,8,0x42f01981,0x44f48dfe,1
0x3d38,64,0x1044,1,0,4096,1048576,0x6770,full,32768,scna-fp16,1236,12,2,0x3ade,0x3b2d,0,3224,10,233856,12288,4,0x6770,0x1191,exp,tree,8,0x42e90181,0x44ee0bd8,1
0x4393,128,0x102c,1,0,4093,2095616,0x67a2,padding,32768,scna-fp16,1236,12,2,0x3b62,0x0,0,3224,10,233856,24576,4,0x67a2,0x17e6,exp,tree,8,0x42f01981,0x44f4321e,1
0x3d1f,128,0x1044,1,0,4093,2095616,0x6774,causal,32768,scna-int8,200,12,2,0x3b51,0x0,0,3224,10,233856,24576,4,0x6774,0x1176,exp,direct,16,0x42f06c01,0x44ee7a91,1
0x3d7c,128,0x1044,1,0,4093,2095616,0x6777,full,32768,scna-int8,200,12,2,0x3b51,0x0,0,3224,10,233856,24576,4,0x6777,0x11d9,exp,direct,16,0x42f06c01,0x44eed751,1
0x3b6d,64,0x1070,1,0,4096,1048576,0x6731,full,32768,scna-int8,200,12,2,0x3ab5,0x3ab5,0,3224,10,233856,12288,4,0x6731,0x101e,exp,direct,16,0x42e3ac81,0x44e624b2,1
0x3d1f,128,0x1044,1,0,4093,2095616,0x6774,padding,32768,scna-int8,200,12,2,0x3b51,0x0,0,3224,10,233856,24576,4,0x6774,0x1176,exp,direct,16,0x42f06c01,0x44ee7a91,1
0x384c,128,0x104c,1,0,4093,2095616,0x676e,causal,32768,scna-int8,232,12,2,0x3b12,0x0,0,3224,10,233856,24576,4,0x676e,0xc9e,exp,direct,32,0x42ea2b81,0x44edb6c6,1
0x3911,128,0x1044,1,0,4093,2095616,0x6771,full,32768,scna-int8,232,12,2,0x3b12,0x0,0,3224,10,233856,24576,4,0x6771,0xd67,exp,direct,32,0x42ea2b81,0x44ee11ce,1
