mode,function,kernel,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p50_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,scna_share_pct,host_control_median_us,micro_single_ns_per_vector,micro_pair_ns_per_vector,micro_rmse,micro_max_abs,micro_dense_rmse,micro_dense_max_abs,micro_direct_tree_max_abs,baseline_speedup
scna-int8,exp,tree,8,32,20,2533.0,2533.0,2540.05,2523.5,2536.5,2893.5,2893.5,2927.25,2850.5,2901.0,1741.5,1373.0,15.0,368.0,334.0,24.0,24.0,54.20450059218318,360.5,54.66,32.485,0.000429145,0.00341797,0.0169006,0.257808,0.0,0.7568101065929728
scna-int8,exp,tree,16,4,20,883.5,883.5,926.9,852.5,911.5,1163.0,1163.0,1183.5,1132.5,1167.5,243.0,199.0,2.0,305.0,319.0,4.0,3.0,22.52405206564799,279.5,64.97,38.675,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.8630447085455575
scna-int8,exp,tree,16,8,20,1195.5,1195.5,1210.2,1191.5,1202.0,1478.5,1478.5,1521.45,1454.5,1502.5,485.0,389.0,4.0,358.0,323.0,8.0,8.0,32.53868674194897,283.0,64.97,38.675,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.7820995399414471
scna-int8,exp,tree,16,16,20,1663.5,1663.5,1694.3,1650.0,1689.5,1991.0,1991.0,2025.1,1977.0,2010.0,943.5,759.0,8.0,357.0,328.5,12.0,12.0,45.62669071235347,327.5,64.97,38.675,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.8013225127742711
scna-int8,exp,tree,16,32,20,2644.5,2644.5,2679.1,2640.5,2660.0,3000.0,3000.0,3050.55,2970.5,3034.5,1870.5,1500.0,15.0,353.0,335.5,24.0,24.0,56.72149744753261,355.5,64.97,38.675,0.00120892,0.0078125,0.00507027,0.115094,0.0,0.7249007373794668
scna-int8,exp,tree,32,4,20,991.5,991.5,1020.0,966.0,1004.5,1292.5,1292.5,1358.2,1203.0,1328.5,290.5,236.5,2.0,359.5,331.5,5.0,4.0,23.852748361069086,301.0,78.38,49.505,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.7690368129097327
scna-int8,exp,tree,32,8,20,1254.0,1254.0,1306.3,1245.5,1297.5,1562.5,1562.5,1618.05,1551.5,1583.5,544.0,449.0,4.0,354.0,330.5,8.0,8.0,35.80542264752791,308.5,78.38,49.505,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.7456140350877193
scna-int8,exp,tree,32,16,20,1808.5,1808.5,1833.4,1803.5,1816.0,2129.5,2129.5,2182.5,2118.4875,2148.5,1070.0,886.0,8.0,372.0,324.5,12.0,13.0,48.9908764169201,321.0,78.38,49.505,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.737074923970141
scna-int8,exp,tree,32,32,20,2928.5,2928.5,2940.0,2923.5,2937.5,3285.0,3285.0,3324.3,3250.5,3309.0,2131.0,1758.5,15.0,379.0,333.0,24.0,25.0,60.04780604404986,356.5,78.38,49.505,0.00245898,0.0195312,0.00198146,0.05476,0.0,0.6546013317397985
scna-int8,exp2,direct,8,4,20,702.5,702.5,705.25,701.0,703.0,938.5,938.5,1005.35,929.0,945.0,211.0,167.0,2.0,254.0,225.0,4.0,2.0,23.772241992882563,236.0,46.41,27.845,0.00247369,0.0180307,0.0109595,0.165851,0.0,1.085409252669039
scna-int8,exp2,direct,8,8,20,1066.5,1066.5,1271.05,1060.0,1266.5,1381.0,1381.0,1596.2,1364.0,1528.5,418.5,330.0,4.0,326.0,302.0,8.0,7.0,30.942334739803094,314.5,46.41,27.845,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.876699484294421
scna-int8,exp2,direct,8,16,20,1643.0,1643.0,1655.15,1538.5,1647.0,1921.0,1921.0,2005.05,1807.5,1941.5,861.0,659.5,8.0,397.0,340.5,12.0,10.0,40.13998782714547,278.0,46.41,27.845,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.8113207547169812
scna-int8,exp2,direct,8,32,20,2419.5,2419.5,2445.4,2384.0,2430.5,2718.0,2718.0,2789.0,2688.0,2744.0,1672.5,1301.0,15.0,345.5,314.0,24.0,23.0,53.77144038024385,298.5,46.41,27.845,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.7923124612523249
scna-int8,exp2,direct,16,4,20,916.5,916.5,931.25,874.5,923.5,1186.0,1186.0,1218.8,1149.0,1190.5,258.0,213.0,2.0,315.5,320.0,4.0,3.5,23.240589198036005,269.5,68.06,41.77,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.8319694489907256
scna-int8,exp2,direct,16,8,20,1128.5,1128.5,1202.5,1108.0,1186.5,1433.0,1433.0,1551.0,1409.0,1466.5,507.0,417.0,4.0,305.5,291.5,8.0,8.0,36.951705804164824,304.5,68.06,41.77,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.8285334514842712
scna-int8,exp2,direct,16,16,20,1743.0,1743.0,1768.3,1725.5,1759.5,2026.5,2026.5,2114.05,2011.5,2043.5,1018.0,828.0,8.0,349.0,330.0,12.0,12.0,47.50430292598967,283.5,68.06,41.77,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.7647733792312106
scna-int8,exp2,direct,16,32,20,2800.5,2800.5,2817.3,2788.4625,2807.0,3120.0,3120.0,3187.65,3084.5,3165.5,2028.0,1645.5,15.0,351.5,332.0,24.0,24.0,58.75736475629352,319.5,68.06,41.77,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.6845206213176218
scna-int8,exp2,direct,32,4,20,1061.0,1061.0,1171.05,1003.0,1070.0,1320.5,1320.5,1479.0,1269.5,1365.5,353.0,302.0,2.0,366.5,324.5,4.0,5.0,28.463713477851083,259.5,124.28,69.1,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.7186616399622997
scna-int8,exp2,direct,32,8,20,1364.5,1364.5,1505.15,1358.0,1502.0,1626.5,1626.5,1860.1,1612.5,1764.0,678.5,583.0,4.0,349.0,313.0,8.0,10.0,42.726273360205205,262.0,124.28,69.1,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.6852326859655552
scna-int8,exp2,direct,32,16,20,2107.0,2107.0,2122.0,2039.5,2115.5,2411.5,2411.5,2492.15,2350.0,2458.0,1346.0,1154.0,8.0,392.0,318.5,12.0,13.0,54.76981490270527,304.5,124.28,69.1,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.6326530612244898
scna-int8,exp2,direct,32,32,20,3225.5,3225.5,3310.65,3213.0,3251.5,3557.0,3557.0,3649.85,3534.5,3590.5,2604.0,2284.0,15.0,272.0,259.5,24.0,24.5,70.81072701906682,331.5,124.28,69.1,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.5943264610137963
scna-int8,exp2,tree,8,4,20,780.5,780.5,799.1,776.5,790.5,1087.5,1087.5,1111.2,1040.0,1106.5,228.0,179.0,2.0,282.0,261.0,4.0,2.0,22.93401665598975,307.0,54.66,32.49,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.9769378603459321
scna-int8,exp2,tree,8,8,20,1127.0,1127.0,1287.45,1115.5,1150.0,1432.5,1432.5,1600.95,1368.0,1465.5,444.0,351.0,4.0,334.5,321.5,9.0,6.0,31.14463176574978,305.5,54.66,32.49,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.8296362023070097
scna-int8,exp2,tree,8,16,20,1738.5,1738.5,1744.05,1736.0,1739.5,2061.5,2061.5,2105.2,2047.0,2088.5,909.5,702.0,8.0,416.5,365.5,12.0,11.5,40.37963761863676,323.0,54.66,32.49,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.7667529479436296
scna-int8,exp2,tree,8,32,20,2623.5,2623.5,2673.05,2594.975,2647.5,2962.5,2962.5,3042.2,2911.0,2984.5,1762.5,1376.0,15.0,412.0,361.0,24.0,24.0,52.44901848675433,339.0,54.66,32.49,0.00247369,0.0180307,0.0109595,0.165851,0.0,0.7307032590051458
scna-int8,exp2,tree,16,4,20,863.5,863.5,895.55,842.5,870.0,1189.0,1189.0,1235.5000000000002,1119.5,1198.0,242.5,198.0,2.0,316.0,288.5,4.0,2.0,22.929936305732483,325.5,64.97,38.675,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.8830341632889404
scna-int8,exp2,tree,16,8,20,1225.5,1225.5,1319.35,1209.0,1234.5,1496.5,1496.5,1609.4,1466.5,1556.0,496.0,391.5,4.0,366.0,335.5,8.0,7.0,31.946144430844555,271.0,64.97,38.675,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.762953896368829
scna-int8,exp2,tree,16,16,20,1767.0,1767.0,1806.05,1675.5,1803.0,2060.5,2060.5,2179.25,2021.0,2169.0,967.5,764.0,8.0,390.5,362.0,12.0,12.0,43.23712507074137,293.5,64.97,38.675,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.7543859649122807
scna-int8,exp2,tree,16,32,20,2597.5,2597.5,2631.15,2593.5,2605.0,2933.5,2933.5,3000.1,2905.5,2975.5,1867.0,1495.0,14.0,335.5,312.0,24.0,24.0,57.5553416746872,336.0,64.97,38.675,0.00231514,0.0136719,0.0031004,0.0633447,0.0,0.7380173243503368
scna-int8,exp2,tree,32,4,20,900.0,900.0,928.1,842.5,914.0,1145.0,1145.0,1248.35,1097.5,1238.5,278.5,231.0,2.0,312.0,296.0,4.0,3.0,25.666666666666668,245.0,78.38,49.505,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.8472222222222222
scna-int8,exp2,tree,32,8,20,1285.0,1285.0,1297.0,1246.0,1292.0,1594.0,1594.0,1640.85,1552.0,1618.0,555.5,456.0,4.0,365.5,333.5,8.0,7.0,35.4863813229572,309.0,78.38,49.505,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.7276264591439688
scna-int8,exp2,tree,32,16,20,1824.5,1824.5,1843.65,1817.5,1829.0,2128.5,2128.5,2212.1,2115.0,2148.5,1074.0,888.0,8.0,367.5,334.0,12.0,13.0,48.670868731159224,304.0,78.38,49.505,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.7306111263359825
scna-int8,exp2,tree,32,32,20,2872.5,2872.5,2893.05,2867.5,2879.0,3195.5,3195.5,3281.3,3170.0,3217.5,2125.5,1750.0,15.0,334.5,326.0,24.0,23.5,60.92254134029591,323.0,78.38,49.505,0.00256127,0.019043,0.00174205,0.0311806,0.0,0.6673629242819843
