mode,function,kernel,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,host_elapsed
scna-fp16,exp,direct,32,4,8,1105.0,424.0,375.0,2.0,337.0,330.0,4.0,4.0,1396.0
scna-fp16,exp,direct,32,4,9,1126.0,425.0,378.0,2.0,361.0,327.0,4.0,4.0,1402.0
scna-fp16,exp,direct,32,4,10,1136.0,425.0,376.0,2.0,364.0,334.0,4.0,4.0,1495.0
scna-fp16,exp,direct,32,4,11,1147.0,427.0,376.0,2.0,369.0,336.0,4.0,5.0,1485.0
scna-fp16,exp,direct,32,4,12,1134.0,426.0,377.0,3.0,363.0,331.0,4.0,4.0,1370.0
scna-fp16,exp,direct,32,4,13,1134.0,426.0,376.0,2.0,373.0,320.0,4.0,5.0,1410.0
scna-fp16,exp,direct,32,4,14,1153.0,425.0,377.0,2.0,375.0,340.0,4.0,4.0,1480.0
scna-fp16,exp,direct,32,4,15,1140.0,424.0,375.0,2.0,373.0,330.0,4.0,4.0,1439.0
scna-fp16,exp,direct,32,4,16,1138.0,427.0,376.0,2.0,368.0,330.0,4.0,4.0,1448.0
scna-fp16,exp,direct,32,4,17,1154.0,423.0,375.0,3.0,372.0,344.0,4.0,5.0,1484.0
scna-fp16,exp,direct,32,4,18,1141.0,424.0,376.0,2.0,370.0,332.0,4.0,4.0,1454.0
scna-fp16,exp,direct,32,4,19,1127.0,424.0,375.0,2.0,362.0,328.0,4.0,4.0,1368.0
scna-fp16,exp,direct,32,8,0,1514.0,817.0,728.0,4.0,342.0,326.0,8.0,9.0,1789.0
scna-fp16,exp,direct,32,8,1,1514.0,823.0,729.0,4.0,347.0,315.0,8.0,9.0,1762.0
scna-fp16,exp,direct,32,8,2,1573.0,832.0,734.0,5.0,377.0,334.0,8.0,9.0,1859.0
scna-fp16,exp,direct,32,8,3,1569.0,830.0,733.0,4.0,377.0,333.0,8.0,9.0,1861.0
scna-fp16,exp,direct,32,8,4,1562.0,831.0,733.0,4.0,371.0,330.0,8.0,10.0,1883.0
scna-fp16,exp,direct,32,8,5,1562.0,829.0,733.0,4.0,374.0,330.0,8.0,9.0,1866.0
scna-fp16,exp,direct,32,8,6,1563.0,833.0,732.0,4.0,365.0,336.0,8.0,9.0,1881.0
scna-fp16,exp,direct,32,8,7,1564.0,831.0,733.0,4.0,377.0,327.0,8.0,9.0,1854.0
scna-fp16,exp,direct,32,8,8,1566.0,831.0,733.0,4.0,378.0,328.0,8.0,9.0,1855.0
scna-fp16,exp,direct,32,8,9,1566.0,831.0,733.0,4.0,375.0,331.0,8.0,9.0,1926.0
scna-fp16,exp,direct,32,8,10,1558.0,828.0,732.0,4.0,373.0,328.0,8.0,9.0,1862.0
scna-fp16,exp,direct,32,8,11,1566.0,831.0,732.0,4.0,373.0,333.0,8.0,9.0,1888.0
scna-fp16,exp,direct,32,8,12,1564.0,831.0,732.0,4.0,375.0,328.0,8.0,10.0,1855.0
scna-fp16,exp,direct,32,8,13,1573.0,832.0,733.0,4.0,373.0,338.0,8.0,10.0,1872.0
scna-fp16,exp,direct,32,8,14,1555.0,829.0,731.0,4.0,374.0,323.0,8.0,9.0,1867.0
scna-fp16,exp,direct,32,8,15,1553.0,829.0,732.0,4.0,375.0,320.0,8.0,9.0,1909.0
scna-fp16,exp,direct,32,8,16,1567.0,829.0,731.0,4.0,376.0,333.0,8.0,9.0,1867.0
scna-fp16,exp,direct,32,8,17,1567.0,831.0,732.0,4.0,379.0,328.0,8.0,9.0,1871.0
scna-fp16,exp,direct,32,8,18,1570.0,829.0,732.0,4.0,383.0,329.0,8.0,9.0,1874.0
scna-fp16,exp,direct,32,8,19,1554.0,829.0,732.0,4.0,374.0,322.0,8.0,9.0,1907.0
scna-fp16,exp,direct,32,16,0,2324.0,1615.0,1441.0,8.0,337.0,324.0,13.0,14.0,2579.0
scna-fp16,exp,direct,32,16,1,2325.0,1615.0,1442.0,9.0,336.0,324.0,14.0,14.0,2640.0
scna-fp16,exp,direct,32,16,2,2318.0,1619.0,1443.0,8.0,324.0,326.0,14.0,14.0,2627.0
scna-fp16,exp,direct,32,16,3,2392.0,1638.0,1447.0,9.0,366.0,340.0,13.0,13.0,2715.0
scna-fp16,exp,direct,32,16,4,2394.0,1640.0,1447.0,8.0,366.0,340.0,13.0,14.0,2746.0
scna-fp16,exp,direct,32,16,5,2380.0,1632.0,1446.0,8.0,361.0,338.0,14.0,14.0,2648.0
scna-fp16,exp,direct,32,16,6,2377.0,1641.0,1447.0,8.0,350.0,339.0,12.0,14.0,2683.0
scna-fp16,exp,direct,32,16,7,2377.0,1636.0,1445.0,7.0,358.0,337.0,13.0,13.0,2692.0
scna-fp16,exp,direct,32,16,8,2394.0,1637.0,1446.0,9.0,368.0,340.0,13.0,13.0,2642.0
scna-fp16,exp,direct,32,16,9,2393.0,1636.0,1445.0,8.0,371.0,338.0,13.0,14.0,2655.0
scna-fp16,exp,direct,32,16,10,2382.0,1633.0,1444.0,8.0,364.0,338.0,12.0,14.0,2662.0
scna-fp16,exp,direct,32,16,11,2375.0,1634.0,1445.0,8.0,365.0,329.0,12.0,14.0,2641.0
scna-fp16,exp,direct,32,16,12,2368.0,1639.0,1446.0,8.0,351.0,331.0,13.0,13.0,2648.0
scna-fp16,exp,direct,32,16,13,2380.0,1634.0,1446.0,8.0,362.0,337.0,13.0,13.0,2694.0
scna-fp16,exp,direct,32,16,14,2384.0,1633.0,1446.0,8.0,366.0,338.0,13.0,13.0,2647.0
scna-fp16,exp,direct,32,16,15,2381.0,1633.0,1446.0,8.0,364.0,337.0,13.0,14.0,2641.0
scna-fp16,exp,direct,32,16,16,2385.0,1637.0,1446.0,8.0,365.0,338.0,12.0,12.0,2654.0
scna-fp16,exp,direct,32,16,17,2389.0,1637.0,1446.0,8.0,365.0,339.0,13.0,14.0,2760.0
scna-fp16,exp,direct,32,16,18,2379.0,1636.0,1445.0,8.0,361.0,335.0,13.0,13.0,2655.0
scna-fp16,exp,direct,32,16,19,2387.0,1633.0,1446.0,8.0,364.0,342.0,13.0,14.0,2706.0
scna-fp16,exp,direct,32,32,0,4064.0,3257.0,2874.0,16.0,386.0,329.0,24.0,27.0,4463.0
scna-fp16,exp,direct,32,32,1,4064.0,3257.0,2874.0,16.0,387.0,330.0,24.0,26.0,4349.0
scna-fp16,exp,direct,32,32,2,4057.0,3253.0,2875.0,15.0,386.0,329.0,24.0,26.0,4342.0
scna-fp16,exp,direct,32,32,3,4071.0,3256.0,2874.0,15.0,390.0,336.0,24.0,26.0,4381.0
scna-fp16,exp,direct,32,32,4,4048.0,3249.0,2873.0,15.0,384.0,326.0,24.0,26.0,4452.0
scna-fp16,exp,direct,32,32,5,4060.0,3252.0,2875.0,15.0,384.0,334.0,24.0,27.0,4368.0
scna-fp16,exp,direct,32,32,6,4053.0,3251.0,2874.0,16.0,382.0,330.0,24.0,26.0,4396.0
scna-fp16,exp,direct,32,32,7,4057.0,3256.0,2874.0,15.0,382.0,331.0,24.0,26.0,4363.0
scna-fp16,exp,direct,32,32,8,4061.0,3254.0,2874.0,16.0,383.0,334.0,24.0,26.0,4383.0
scna-fp16,exp,direct,32,32,9,4043.0,3244.0,2873.0,15.0,375.0,335.0,24.0,26.0,4416.0
scna-fp16,exp,direct,32,32,10,4039.0,3250.0,2872.0,15.0,367.0,333.0,24.0,26.0,4354.0
scna-fp16,exp,direct,32,32,11,4034.0,3254.0,2872.0,15.0,363.0,325.0,24.0,28.0,4316.0
scna-fp16,exp,direct,32,32,12,4041.0,3253.0,2871.0,15.0,370.0,328.0,24.0,26.0,4343.0
scna-fp16,exp,direct,32,32,13,4019.0,3246.0,2870.0,15.0,360.0,323.0,24.0,26.0,4318.0
scna-fp16,exp,direct,32,32,14,4016.0,3246.0,2871.0,15.0,365.0,315.0,24.0,26.0,4320.0
scna-fp16,exp,direct,32,32,15,4007.0,3249.0,2871.0,15.0,360.0,307.0,24.0,27.0,4348.0
scna-fp16,exp,direct,32,32,16,4012.0,3245.0,2871.0,15.0,360.0,317.0,24.0,26.0,4420.0
scna-fp16,exp,direct,32,32,17,4014.0,3248.0,2871.0,15.0,359.0,319.0,24.0,25.0,4405.0
scna-fp16,exp,direct,32,32,18,4024.0,3253.0,2871.0,15.0,359.0,324.0,24.0,25.0,4336.0
scna-fp16,exp,direct,32,32,19,4017.0,3250.0,2870.0,15.0,354.0,324.0,24.0,25.0,4395.0
scna-fp16,exp,tree,8,4,0,868.0,201.0,150.0,2.0,313.0,339.0,4.0,4.0,1188.0
scna-fp16,exp,tree,8,4,1,845.0,199.0,151.0,2.0,310.0,321.0,4.0,4.0,1081.0
scna-fp16,exp,tree,8,4,2,858.0,200.0,150.0,2.0,311.0,332.0,4.0,4.0,1193.0
scna-fp16,exp,tree,8,4,3,907.0,200.0,150.0,2.0,351.0,341.0,4.0,3.0,1195.0
scna-fp16,exp,tree,8,4,4,924.0,201.0,151.0,2.0,365.0,344.0,4.0,3.0,1191.0
scna-fp16,exp,tree,8,4,5,872.0,200.0,151.0,2.0,323.0,335.0,4.0,3.0,1188.0
scna-fp16,exp,tree,8,4,6,856.0,198.0,151.0,3.0,331.0,311.0,4.0,4.0,1092.0
scna-fp16,exp,tree,8,4,7,924.0,218.0,159.0,2.0,367.0,325.0,4.0,3.0,1193.0
scna-fp16,exp,tree,8,4,8,920.0,218.0,160.0,2.0,363.0,324.0,4.0,4.0,1191.0
scna-fp16,exp,tree,8,4,9,922.0,216.0,159.0,2.0,365.0,327.0,4.0,3.0,1191.0
scna-fp16,exp,tree,8,4,10,925.0,218.0,160.0,2.0,364.0,327.0,4.0,4.0,1198.0
scna-fp16,exp,tree,8,4,11,923.0,217.0,159.0,2.0,364.0,326.0,4.0,4.0,1184.0
scna-fp16,exp,tree,8,4,12,926.0,218.0,159.0,3.0,370.0,324.0,4.0,3.0,1182.0
scna-fp16,exp,tree,8,4,13,920.0,216.0,159.0,3.0,362.0,325.0,4.0,4.0,1187.0
scna-fp16,exp,tree,8,4,14,921.0,217.0,159.0,2.0,363.0,325.0,4.0,4.0,1180.0
scna-fp16,exp,tree,8,4,15,925.0,216.0,158.0,3.0,363.0,329.0,4.0,4.0,1186.0
scna-fp16,exp,tree,8,4,16,928.0,216.0,159.0,2.0,369.0,327.0,4.0,4.0,1198.0
scna-fp16,exp,tree,8,4,17,919.0,216.0,160.0,2.0,363.0,325.0,4.0,4.0,1183.0
scna-fp16,exp,tree,8,4,18,919.0,215.0,158.0,2.0,365.0,324.0,4.0,4.0,1190.0
scna-fp16,exp,tree,8,4,19,921.0,217.0,159.0,3.0,365.0,324.0,4.0,3.0,1182.0
scna-fp16,exp,tree,8,8,0,1063.0,384.0,289.0,4.0,329.0,323.0,8.0,8.0,1315.0
scna-fp16,exp,tree,8,8,1,1081.0,384.0,290.0,4.0,347.0,322.0,8.0,8.0,1310.0
scna-fp16,exp,tree,8,8,2,1076.0,384.0,290.0,4.0,344.0,321.0,8.0,7.0,1307.0
scna-fp16,exp,tree,8,8,3,1071.0,383.0,290.0,4.0,348.0,315.0,8.0,6.0,1315.0
scna-fp16,exp,tree,8,8,4,1086.0,391.0,291.0,4.0,353.0,315.0,8.0,8.0,1366.0
scna-fp16,exp,tree,8,8,5,1098.0,390.0,292.0,5.0,350.0,329.0,8.0,8.0,1374.0
scna-fp16,exp,tree,8,8,6,1098.0,390.0,292.0,4.0,358.0,324.0,8.0,7.0,1375.0
scna-fp16,exp,tree,8,8,7,1059.0,384.0,292.0,4.0,331.0,318.0,8.0,7.0,1396.0
scna-fp16,exp,tree,8,8,8,1089.0,390.0,291.0,4.0,350.0,322.0,8.0,8.0,1416.0
scna-fp16,exp,tree,8,8,9,1085.0,389.0,291.0,4.0,338.0,331.0,8.0,7.0,1366.0
scna-fp16,exp,tree,8,8,10,1090.0,388.0,291.0,4.0,336.0,340.0,8.0,7.0,1387.0
scna-fp16,exp,tree,8,8,11,1085.0,388.0,291.0,4.0,348.0,322.0,8.0,7.0,1372.0
scna-fp16,exp,tree,8,8,12,1098.0,386.0,292.0,4.0,346.0,341.0,8.0,7.0,1395.0
scna-fp16,exp,tree,8,8,13,1081.0,387.0,291.0,4.0,333.0,334.0,8.0,7.0,1388.0
scna-fp16,exp,tree,8,8,14,1090.0,389.0,291.0,4.0,350.0,324.0,8.0,7.0,1377.0
scna-fp16,exp,tree,8,8,15,1126.0,394.0,296.0,4.0,370.0,336.0,8.0,6.0,1352.0
scna-fp16,exp,tree,8,8,16,1132.0,398.0,295.0,4.0,369.0,337.0,8.0,8.0,1425.0
scna-fp16,exp,tree,8,8,17,1131.0,395.0,296.0,4.0,369.0,340.0,8.0,7.0,1463.0
scna-fp16,exp,tree,8,8,18,1109.0,395.0,295.0,4.0,358.0,330.0,8.0,7.0,1375.0
scna-fp16,exp,tree,8,8,19,1107.0,397.0,295.0,4.0,358.0,326.0,8.0,6.0,1356.0
scna-fp16,exp,tree,8,16,0,1427.0,739.0,566.0,9.0,332.0,311.0,12.0,11.0,1724.0
scna-fp16,exp,tree,8,16,1,1442.0,737.0,566.0,8.0,332.0,330.0,12.0,10.0,1716.0
scna-fp16,exp,tree,8,16,2,1443.0,739.0,567.0,8.0,331.0,329.0,12.0,11.0,1713.0
scna-fp16,exp,tree,8,16,3,1436.0,734.0,566.0,9.0,331.0,326.0,12.0,11.0,1712.0
scna-fp16,exp,tree,8,16,4,1427.0,736.0,566.0,9.0,337.0,308.0,12.0,11.0,1711.0
scna-fp16,exp,tree,8,16,5,1404.0,734.0,567.0,7.0,318.0,309.0,12.0,11.0,1736.0
scna-fp16,exp,tree,8,16,6,1414.0,736.0,567.0,8.0,330.0,304.0,12.0,12.0,1676.0
scna-fp16,exp,tree,8,16,7,1506.0,765.0,577.0,8.0,373.0,324.0,12.0,12.0,1756.0
scna-fp16,exp,tree,8,16,8,1517.0,766.0,574.0,8.0,368.0,339.0,12.0,12.0,1866.0
scna-fp16,exp,tree,8,16,9,1520.0,764.0,575.0,8.0,369.0,342.0,12.0,12.0,1860.0
scna-fp16,exp,tree,8,16,10,1515.0,765.0,575.0,8.0,374.0,331.0,12.0,12.0,1874.0
scna-fp16,exp,tree,8,16,11,1509.0,766.0,575.0,8.0,374.0,325.0,12.0,11.0,1793.0
scna-fp16,exp,tree,8,16,12,1514.0,766.0,575.0,8.0,376.0,326.0,12.0,12.0,1771.0
scna-fp16,exp,tree,8,16,13,1523.0,765.0,575.0,8.0,377.0,336.0,12.0,11.0,1868.0
scna-fp16,exp,tree,8,16,14,1516.0,765.0,575.0,8.0,375.0,331.0,12.0,11.0,1887.0
scna-fp16,exp,tree,8,16,15,1513.0,766.0,575.0,8.0,372.0,331.0,12.0,11.0,1764.0
scna-fp16,exp,tree,8,16,16,1519.0,764.0,575.0,8.0,376.0,334.0,12.0,12.0,1855.0
scna-fp16,exp,tree,8,16,17,1517.0,765.0,575.0,8.0,375.0,332.0,12.0,12.0,1856.0
scna-fp16,exp,tree,8,16,18,1523.0,764.0,574.0,8.0,381.0,333.0,12.0,12.0,1818.0
scna-fp16,exp,tree,8,16,19,1509.0,761.0,575.0,8.0,365.0,338.0,12.0,12.0,1854.0
scna-fp16,exp,tree,8,32,0,2206.0,1460.0,1124.0,15.0,337.0,322.0,24.0,23.0,2503.0
scna-fp16,exp,tree,8,32,1,2271.0,1488.0,1129.0,15.0,366.0,328.0,24.0,24.0,2628.0
scna-fp16,exp,tree,8,32,2,2321.0,1505.0,1133.0,15.0,391.0,338.0,24.0,24.0,2625.0
scna-fp16,exp,tree,8,32,3,2311.0,1499.0,1134.0,15.0,393.0,332.0,24.0,23.0,2641.0
scna-fp16,exp,tree,8,32,4,2308.0,1499.0,1133.0,15.0,386.0,336.0,24.0,24.0,2665.0
scna-fp16,exp,tree,8,32,5,2318.0,1506.0,1133.0,15.0,389.0,337.0,24.0,23.0,2638.0
scna-fp16,exp,tree,8,32,6,2312.0,1505.0,1133.0,15.0,383.0,337.0,24.0,23.0,2662.0
scna-fp16,exp,tree,8,32,7,2315.0,1508.0,1133.0,15.0,383.0,338.0,24.0,23.0,2659.0
scna-fp16,exp,tree,8,32,8,2315.0,1501.0,1133.0,15.0,392.0,335.0,24.0,24.0,2666.0
scna-fp16,exp,tree,8,32,9,2299.0,1497.0,1133.0,15.0,384.0,330.0,24.0,24.0,2604.0
scna-fp16,exp,tree,8,32,10,2297.0,1500.0,1133.0,15.0,380.0,331.0,24.0,23.0,2667.0
scna-fp16,exp,tree,8,32,11,2312.0,1504.0,1131.0,15.0,384.0,336.0,24.0,24.0,2637.0
scna-fp16,exp,tree,8,32,12,2306.0,1506.0,1133.0,15.0,382.0,331.0,24.0,24.0,2658.0
scna-fp16,exp,tree,8,32,13,2303.0,1501.0,1133.0,15.0,381.0,334.0,24.0,24.0,2656.0
scna-fp16,exp,tree,8,32,14,2315.0,1501.0,1132.0,15.0,388.0,338.0,24.0,25.0,2717.0
scna-fp16,exp,tree,8,32,15,2314.0,1504.0,1131.0,15.0,385.0,338.0,24.0,24.0,2638.0
scna-fp16,exp,tree,8,32,16,2301.0,1497.0,1133.0,15.0,383.0,334.0,24.0,24.0,2634.0
scna-fp16,exp,tree,8,32,17,2308.0,1505.0,1132.0,15.0,380.0,335.0,24.0,25.0,2665.0
scna-fp16,exp,tree,8,32,18,2305.0,1498.0,1132.0,15.0,377.0,342.0,24.0,25.0,2618.0
scna-fp16,exp,tree,8,32,19,2305.0,1502.0,1132.0,15.0,379.0,338.0,24.0,23.0,2687.0
scna-fp16,exp,tree,16,4,0,913.0,215.0,166.0,2.0,348.0,335.0,4.0,4.0,1191.0
scna-fp16,exp,tree,16,4,1,885.0,215.0,167.0,2.0,331.0,324.0,5.0,3.0,1213.0
scna-fp16,exp,tree,16,4,2,904.0,211.0,165.0,2.0,332.0,345.0,5.0,3.0,1193.0
scna-fp16,exp,tree,16,4,3,855.0,214.0,165.0,2.0,337.0,289.0,5.0,3.0,1190.0
scna-fp16,exp,tree,16,4,4,847.0,212.0,166.0,2.0,338.0,283.0,5.0,3.0,1075.0
scna-fp16,exp,tree,16,4,5,897.0,214.0,165.0,2.0,323.0,344.0,5.0,3.0,1190.0
scna-fp16,exp,tree,16,4,6,895.0,218.0,168.0,2.0,324.0,339.0,4.0,3.0,1248.0
scna-fp16,exp,tree,16,4,7,936.0,226.0,170.0,2.0,364.0,331.0,5.0,3.0,1240.0
scna-fp16,exp,tree,16,4,8,937.0,226.0,172.0,2.0,364.0,333.0,4.0,3.0,1228.0
scna-fp16,exp,tree,16,4,9,926.0,223.0,169.0,2.0,366.0,322.0,4.0,3.0,1235.0
scna-fp16,exp,tree,16,4,10,932.0,224.0,169.0,2.0,370.0,322.0,5.0,3.0,1200.0
scna-fp16,exp,tree,16,4,11,915.0,220.0,169.0,2.0,369.0,312.0,4.0,3.0,1244.0
scna-fp16,exp,tree,16,4,12,915.0,221.0,169.0,2.0,357.0,323.0,4.0,3.0,1187.0
scna-fp16,exp,tree,16,4,13,911.0,222.0,169.0,2.0,357.0,317.0,4.0,3.0,1214.0
scna-fp16,exp,tree,16,4,14,911.0,221.0,167.0,2.0,354.0,321.0,4.0,3.0,1187.0
scna-fp16,exp,tree,16,4,15,918.0,223.0,167.0,2.0,358.0,321.0,5.0,3.0,1194.0
scna-fp16,exp,tree,16,4,16,910.0,221.0,167.0,2.0,354.0,320.0,5.0,3.0,1211.0
scna-fp16,exp,tree,16,4,17,915.0,222.0,168.0,2.0,355.0,322.0,5.0,3.0,1182.0
scna-fp16,exp,tree,16,4,18,907.0,219.0,167.0,2.0,354.0,318.0,5.0,3.0,1252.0
scna-fp16,exp,tree,16,4,19,920.0,220.0,168.0,2.0,364.0,321.0,5.0,3.0,1186.0
scna-fp16,exp,tree,16,8,0,1063.0,410.0,319.0,4.0,323.0,303.0,8.0,7.0,1397.0
scna-fp16,exp,tree,16,8,1,1102.0,409.0,319.0,4.0,337.0,329.0,8.0,7.0,1392.0
scna-fp16,exp,tree,16,8,2,1101.0,410.0,319.0,4.0,339.0,325.0,8.0,7.0,1393.0
scna-fp16,exp,tree,16,8,3,1107.0,411.0,319.0,4.0,342.0,327.0,8.0,7.0,1392.0
scna-fp16,exp,tree,16,8,4,1074.0,411.0,319.0,4.0,333.0,303.0,8.0,7.0,1312.0
scna-fp16,exp,tree,16,8,5,1143.0,422.0,324.0,4.0,373.0,321.0,8.0,7.0,1488.0
scna-fp16,exp,tree,16,8,6,1146.0,424.0,324.0,4.0,367.0,328.0,8.0,7.0,1458.0
scna-fp16,exp,tree,16,8,7,1142.0,420.0,323.0,5.0,356.0,338.0,8.0,7.0,1457.0
scna-fp16,exp,tree,16,8,8,1140.0,423.0,323.0,4.0,350.0,340.0,8.0,7.0,1466.0
scna-fp16,exp,tree,16,8,9,1136.0,421.0,323.0,4.0,352.0,336.0,8.0,7.0,1473.0
scna-fp16,exp,tree,16,8,10,1118.0,417.0,322.0,4.0,357.0,317.0,8.0,7.0,1429.0
scna-fp16,exp,tree,16,8,11,1141.0,419.0,323.0,4.0,356.0,339.0,8.0,7.0,1505.0
scna-fp16,exp,tree,16,8,12,1134.0,418.0,323.0,5.0,359.0,329.0,8.0,7.0,1390.0
scna-fp16,exp,tree,16,8,13,1124.0,420.0,321.0,4.0,347.0,330.0,8.0,7.0,1483.0
scna-fp16,exp,tree,16,8,14,1138.0,422.0,322.0,4.0,350.0,339.0,8.0,7.0,1458.0
scna-fp16,exp,tree,16,8,15,1132.0,420.0,321.0,4.0,352.0,333.0,8.0,7.0,1400.0
scna-fp16,exp,tree,16,8,16,1124.0,420.0,321.0,4.0,346.0,331.0,8.0,7.0,1425.0
scna-fp16,exp,tree,16,8,17,1131.0,421.0,322.0,4.0,358.0,325.0,8.0,7.0,1397.0
scna-fp16,exp,tree,16,8,18,1123.0,419.0,321.0,4.0,348.0,329.0,8.0,7.0,1361.0
scna-fp16,exp,tree,16,8,19,1141.0,422.0,322.0,4.0,361.0,331.0,8.0,7.0,1470.0
scna-fp16,exp,tree,16,16,0,1508.0,803.0,628.0,8.0,329.0,331.0,12.0,12.0,1871.0
scna-fp16,exp,tree,16,16,1,1538.0,813.0,627.0,8.0,346.0,334.0,12.0,12.0,1786.0
scna-fp16,exp,tree,16,16,2,1521.0,801.0,628.0,8.0,340.0,335.0,12.0,12.0,1787.0
scna-fp16,exp,tree,16,16,3,1534.0,806.0,629.0,8.0,345.0,338.0,12.0,12.0,1783.0
scna-fp16,exp,tree,16,16,4,1523.0,809.0,629.0,8.0,340.0,328.0,12.0,12.0,1785.0
scna-fp16,exp,tree,16,16,5,1529.0,806.0,628.0,8.0,338.0,339.0,12.0,12.0,1780.0
scna-fp16,exp,tree,16,16,6,1520.0,812.0,629.0,8.0,344.0,319.0,12.0,12.0,1782.0
scna-fp16,exp,tree,16,16,7,1520.0,808.0,628.0,8.0,333.0,334.0,12.0,12.0,1780.0
scna-fp16,exp,tree,16,16,8,1528.0,823.0,633.0,8.0,340.0,320.0,12.0,12.0,1781.0
scna-fp16,exp,tree,16,16,9,1586.0,829.0,635.0,8.0,383.0,329.0,12.0,12.0,1853.0
scna-fp16,exp,tree,16,16,10,1587.0,829.0,637.0,8.0,384.0,330.0,12.0,11.0,1849.0
scna-fp16,exp,tree,16,16,11,1584.0,826.0,636.0,8.0,382.0,332.0,12.0,11.0,1874.0
scna-fp16,exp,tree,16,16,12,1591.0,830.0,636.0,8.0,377.0,339.0,13.0,11.0,1855.0
scna-fp16,exp,tree,16,16,13,1564.0,828.0,636.0,8.0,370.0,323.0,12.0,11.0,1927.0
scna-fp16,exp,tree,16,16,14,1589.0,829.0,636.0,8.0,384.0,332.0,12.0,11.0,1879.0
scna-fp16,exp,tree,16,16,15,1582.0,825.0,636.0,8.0,379.0,334.0,12.0,11.0,1931.0
scna-fp16,exp,tree,16,16,16,1582.0,830.0,636.0,8.0,377.0,331.0,12.0,12.0,1929.0
scna-fp16,exp,tree,16,16,17,1580.0,826.0,634.0,8.0,379.0,331.0,12.0,12.0,1872.0
scna-fp16,exp,tree,16,16,18,1587.0,825.0,636.0,8.0,379.0,338.0,12.0,12.0,1915.0
scna-fp16,exp,tree,16,16,19,1580.0,827.0,634.0,8.0,372.0,337.0,12.0,11.0,1840.0
scna-fp16,exp,tree,16,32,0,2317.0,1584.0,1240.0,15.0,322.0,325.0,24.0,23.0,2622.0
scna-fp16,exp,tree,16,32,1,2330.0,1578.0,1241.0,15.0,338.0,326.0,24.0,25.0,2620.0
scna-fp16,exp,tree,16,32,2,2358.0,1596.0,1240.0,15.0,339.0,337.0,24.0,24.0,2673.0
scna-fp16,exp,tree,16,32,3,2422.0,1622.0,1249.0,15.0,377.0,335.0,24.0,24.0,2765.0
scna-fp16,exp,tree,16,32,4,2428.0,1622.0,1250.0,15.0,383.0,335.0,24.0,25.0,2792.0
scna-fp16,exp,tree,16,32,5,2431.0,1622.0,1249.0,15.0,383.0,338.0,24.0,25.0,2788.0
scna-fp16,exp,tree,16,32,6,2437.0,1624.0,1250.0,15.0,385.0,340.0,24.0,25.0,2780.0
scna-fp16,exp,tree,16,32,7,2419.0,1616.0,1249.0,15.0,381.0,333.0,24.0,26.0,2810.0
scna-fp16,exp,tree,16,32,8,2363.0,1601.0,1247.0,15.0,354.0,321.0,24.0,24.0,2697.0
scna-fp16,exp,tree,16,32,9,2384.0,1613.0,1244.0,15.0,347.0,336.0,24.0,25.0,2703.0
scna-fp16,exp,tree,16,32,10,2380.0,1622.0,1244.0,15.0,354.0,317.0,24.0,24.0,2774.0
scna-fp16,exp,tree,16,32,11,2384.0,1616.0,1243.0,15.0,352.0,329.0,24.0,25.0,2788.0
scna-fp16,exp,tree,16,32,12,2378.0,1611.0,1243.0,15.0,348.0,331.0,24.0,24.0,2694.0
scna-fp16,exp,tree,16,32,13,2387.0,1614.0,1243.0,15.0,351.0,334.0,24.0,24.0,2686.0
scna-fp16,exp,tree,16,32,14,2382.0,1618.0,1243.0,15.0,350.0,326.0,24.0,24.0,2781.0
scna-fp16,exp,tree,16,32,15,2378.0,1616.0,1243.0,15.0,340.0,333.0,24.0,25.0,2660.0
scna-fp16,exp,tree,16,32,16,2374.0,1619.0,1243.0,15.0,349.0,319.0,24.0,25.0,2769.0
scna-fp16,exp,tree,16,32,17,2388.0,1619.0,1243.0,15.0,350.0,332.0,24.0,25.0,2760.0
scna-fp16,exp,tree,16,32,18,2380.0,1612.0,1243.0,15.0,351.0,329.0,24.0,25.0,2778.0
scna-fp16,exp,tree,16,32,19,2368.0,1614.0,1243.0,15.0,336.0,331.0,24.0,24.0,2655.0
scna-fp16,exp,tree,32,4,0,788.0,258.0,210.0,2.0,268.0,249.0,4.0,3.0,1096.0
scna-fp16,exp,tree,32,4,1,785.0,258.0,211.0,2.0,268.0,246.0,4.0,2.0,1097.0
scna-fp16,exp,tree,32,4,2,781.0,258.0,211.0,2.0,267.0,244.0,4.0,2.0,1005.0
scna-fp16,exp,tree,32,4,3,781.0,258.0,210.0,2.0,267.0,244.0,4.0,2.0,1105.0
scna-fp16,exp,tree,32,4,4,792.0,259.0,211.0,2.0,273.0,247.0,4.0,2.0,1099.0
scna-fp16,exp,tree,32,4,5,780.0,257.0,210.0,2.0,265.0,246.0,4.0,2.0,1097.0
scna-fp16,exp,tree,32,4,6,781.0,258.0,211.0,2.0,265.0,246.0,4.0,2.0,1107.0
scna-fp16,exp,tree,32,4,7,781.0,257.0,211.0,2.0,266.0,246.0,4.0,2.0,1098.0
scna-fp16,exp,tree,32,4,8,785.0,258.0,210.0,2.0,267.0,247.0,4.0,3.0,1026.0
scna-fp16,exp,tree,32,4,9,782.0,258.0,210.0,2.0,268.0,244.0,4.0,2.0,1030.0
