mode,function,kernel,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,host_elapsed
baseline,none,none,0,8,15,969.0,326.0,0.0,4.0,315.0,301.0,8.0,6.0,1236.0
baseline,none,none,0,8,16,975.0,324.0,0.0,4.0,328.0,297.0,8.0,6.0,1253.0
baseline,none,none,0,8,17,975.0,325.0,0.0,4.0,331.0,294.0,8.0,5.0,1266.0
baseline,none,none,0,8,18,962.0,324.0,0.0,4.0,312.0,300.0,8.0,6.0,1321.0
baseline,none,none,0,8,19,981.0,328.0,0.0,5.0,315.0,312.0,8.0,5.0,1321.0
baseline,none,none,0,16,0,1243.0,622.0,0.0,7.0,297.0,280.0,12.0,10.0,1539.0
baseline,none,none,0,16,1,1239.0,622.0,0.0,8.0,300.0,273.0,12.0,10.0,1573.0
baseline,none,none,0,16,2,1232.0,621.0,0.0,8.0,297.0,272.0,12.0,10.0,1557.0
baseline,none,none,0,16,3,1237.0,622.0,0.0,8.0,299.0,273.0,12.0,10.0,1545.0
baseline,none,none,0,16,4,1257.0,622.0,0.0,8.0,301.0,290.0,12.0,10.0,1539.0
baseline,none,none,0,16,5,1288.0,636.0,0.0,8.0,297.0,312.0,12.0,10.0,1581.0
baseline,none,none,0,16,6,1343.0,639.0,0.0,7.0,349.0,314.0,12.0,10.0,1675.0
baseline,none,none,0,16,7,1349.0,644.0,0.0,8.0,356.0,308.0,12.0,10.0,1627.0
baseline,none,none,0,16,8,1338.0,645.0,0.0,8.0,343.0,308.0,12.0,10.0,1601.0
baseline,none,none,0,16,9,1350.0,645.0,0.0,8.0,341.0,322.0,12.0,10.0,1589.0
baseline,none,none,0,16,10,1355.0,644.0,0.0,7.0,351.0,319.0,12.0,10.0,1603.0
baseline,none,none,0,16,11,1352.0,644.0,0.0,7.0,353.0,314.0,12.0,10.0,1630.0
baseline,none,none,0,16,12,1358.0,646.0,0.0,7.0,354.0,317.0,12.0,10.0,1616.0
baseline,none,none,0,16,13,1311.0,638.0,0.0,7.0,331.0,301.0,12.0,10.0,1540.0
baseline,none,none,0,16,14,1312.0,643.0,0.0,8.0,324.0,303.0,12.0,10.0,1656.0
baseline,none,none,0,16,15,1319.0,642.0,0.0,8.0,335.0,301.0,12.0,9.0,1616.0
baseline,none,none,0,16,16,1328.0,645.0,0.0,8.0,338.0,301.0,13.0,10.0,1586.0
baseline,none,none,0,16,17,1345.0,646.0,0.0,8.0,338.0,317.0,13.0,9.0,1609.0
baseline,none,none,0,16,18,1347.0,645.0,0.0,8.0,336.0,320.0,13.0,10.0,1608.0
baseline,none,none,0,16,19,1350.0,648.0,0.0,8.0,337.0,321.0,13.0,10.0,1710.0
baseline,none,none,0,32,0,1879.0,1265.0,0.0,15.0,269.0,259.0,24.0,23.0,2236.0
