stage,mode,layout,seed,mask,qo_len,kv_len,head_dim,rmse,max_abs_error,candidate_nonfinite,reference_nonfinite,compare_pass,layout_pass,mask_tail_pass,checksum_unique_count,log
baseline,baseline,serial,20260810,causal,1,4093,128,2.90171429e-05,0.000127545558,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q1_k4093_d128.log
baseline,baseline,serial,20260810,causal,1,4096,64,0.000245892879,0.000931822695,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q1_k4096_d64.log
baseline,baseline,serial,20260810,causal,1,4096,128,2.85189981e-05,0.000152754597,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q1_k4096_d128.log
baseline,baseline,serial,20260810,causal,4,4093,64,0.000244198134,0.000936400145,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q4_k4093_d64.log
baseline,baseline,serial,20260810,causal,4,4093,128,2.91067336e-05,0.000153346919,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q4_k4093_d128.log
baseline,baseline,serial,20260810,causal,4,4096,64,0.00024322854,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q4_k4096_d64.log
baseline,baseline,serial,20260810,causal,4,4096,128,2.74267313e-05,0.000164076686,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260810_causal_q4_k4096_d128.log
baseline,baseline,serial,20260811,full,1,4093,64,0.000242402428,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q1_k4093_d64.log
baseline,baseline,serial,20260811,full,1,4093,128,2.90170465e-05,0.00012753997,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q1_k4093_d128.log
baseline,baseline,serial,20260811,full,1,4096,64,0.000245893054,0.000931822695,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q1_k4096_d64.log
baseline,baseline,serial,20260811,full,1,4096,128,2.85188889e-05,0.000152757391,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q1_k4096_d128.log
baseline,baseline,serial,20260811,full,4,4093,64,0.000243227958,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q4_k4093_d64.log
baseline,baseline,serial,20260811,full,4,4093,128,2.75228285e-05,0.000153617933,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q4_k4093_d128.log
baseline,baseline,serial,20260811,full,4,4096,64,0.000244926981,0.000931822695,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q4_k4096_d64.log
baseline,baseline,serial,20260811,full,4,4096,128,2.84956895e-05,0.000164072029,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_full_q4_k4096_d128.log
baseline,baseline,serial,20260811,padding,1,4093,64,0.000244813476,0.000936400145,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q1_k4093_d64.log
baseline,baseline,serial,20260811,padding,1,4093,128,3.21373373e-05,0.000138632953,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q1_k4093_d128.log
baseline,baseline,serial,20260811,padding,1,4096,64,0.000242402428,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q1_k4096_d64.log
baseline,baseline,serial,20260811,padding,1,4096,128,2.90170465e-05,0.00012753997,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q1_k4096_d128.log
baseline,baseline,serial,20260811,padding,4,4093,64,0.000245585514,0.000936400145,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q4_k4093_d64.log
baseline,baseline,serial,20260811,padding,4,4093,128,3.03275792e-05,0.000164651312,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q4_k4093_d128.log
baseline,baseline,serial,20260811,padding,4,4096,64,0.000243227958,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q4_k4096_d64.log
baseline,baseline,serial,20260811,padding,4,4096,128,2.75228285e-05,0.000153617933,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_padding_q4_k4096_d128.log
baseline,baseline,serial,20260811,causal,1,4093,64,0.000242402428,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q1_k4093_d64.log
baseline,baseline,serial,20260811,causal,1,4093,128,2.90170465e-05,0.00012753997,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q1_k4093_d128.log
baseline,baseline,serial,20260811,causal,1,4096,64,0.000245893054,0.000931822695,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q1_k4096_d64.log
baseline,baseline,serial,20260811,causal,1,4096,128,2.85188889e-05,0.000152757391,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q1_k4096_d128.log
baseline,baseline,serial,20260811,causal,4,4093,64,0.000244198163,0.000936400145,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q4_k4093_d64.log
baseline,baseline,serial,20260811,causal,4,4093,128,2.91066954e-05,0.000153349712,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q4_k4093_d128.log
baseline,baseline,serial,20260811,causal,4,4096,64,0.00024322854,0.000936056487,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q4_k4096_d64.log
baseline,baseline,serial,20260811,causal,4,4096,128,2.74266804e-05,0.000164072029,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_20260811_causal_q4_k4096_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,full,1,4093,64,3.57374774e-05,0.000107956934,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q1_k4093_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,full,1,4093,128,4.79713162e-05,0.00013551442,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q1_k4093_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,full,1,4096,64,3.58753969e-05,0.000107346277,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q1_k4096_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,full,1,4096,128,4.77444701e-05,0.00013297546,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q1_k4096_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,full,4,4093,64,3.54552612e-05,0.00011741677,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q4_k4093_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,full,4,4093,128,4.0723964e-05,0.00013551442,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q4_k4093_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,full,4,4096,64,3.53938958e-05,0.000120209996,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q4_k4096_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,full,4,4096,128,4.07281877e-05,0.00013297546,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_full_q4_k4096_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,1,4093,64,3.62496139e-05,0.000109409593,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q1_k4093_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,1,4093,128,4.86376412e-05,0.000135594339,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q1_k4093_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,1,4096,64,3.57374774e-05,0.000107956934,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q1_k4096_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,1,4096,128,4.79713162e-05,0.00013551442,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q1_k4096_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,4,4093,64,3.58418692e-05,0.00012597497,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q4_k4093_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,4,4093,128,4.09956738e-05,0.000143698126,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q4_k4093_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,4,4096,64,3.54552612e-05,0.00011741677,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q4_k4096_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,padding,4,4096,128,4.0723964e-05,0.00013551442,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_padding_q4_k4096_d128.log
scna_serial,scna-fp16,serial,figure8_fixed,causal,1,4093,64,3.57374774e-05,0.000107956934,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_causal_q1_k4093_d64.log
scna_serial,scna-fp16,serial,figure8_fixed,causal,1,4093,128,4.79713162e-05,0.00013551442,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/scna_serial_figure8_fixed_causal_q1_k4093_d128.log
