mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
scna-int8,16,32,2,20,2352.0,2352.0,2367.3,1763.5,1763.5,1794.3,2.0,0.0185084,0.0187988,1604.0,1418.0,8.0,372.5,331.5,12.0,12.0
scna-int8,16,8,2,20,1501.0,1501.0,1515.2,1763.5,1763.5,1794.3,0.0,0.0052965,0.0161996,788.0,608.0,8.0,357.0,313.0,12.0,10.0
scna-int8,32,16,2,20,2812.5,2812.5,2838.15,2635.0,2635.0,2683.6,1.0,0.0126392,0.0128937,2043.0,1675.0,15.0,363.5,325.0,24.0,25.0
scna-int8,32,32,2,20,4000.5,4000.5,4010.05,2635.0,2635.0,2683.6,2.0,0.0185084,0.0187988,3197.0,2822.0,16.0,379.5,333.0,24.0,24.0
scna-int8,32,8,2,20,2341.0,2341.0,2368.45,2635.0,2635.0,2683.6,0.0,0.0052965,0.0161996,1564.0,1204.0,15.0,373.5,318.0,24.0,22.0
scna-int8,4,16,2,20,902.5,902.5,928.25,1181.0,1181.0,1227.3,1.0,0.0126392,0.0128937,262.0,219.5,2.0,329.5,289.5,4.0,3.0
scna-int8,4,32,2,20,1078.0,1078.0,1127.3,1181.0,1181.0,1227.3,2.0,0.0185084,0.0187988,410.0,366.0,2.0,334.0,319.0,4.0,5.0
scna-int8,4,8,2,20,903.0,903.0,917.3,1181.0,1181.0,1227.3,0.0,0.0052965,0.0161996,212.5,161.5,2.0,361.0,312.5,4.0,3.0
scna-int8,8,16,2,20,1242.5,1242.5,1256.0,1366.0,1366.0,1445.2,1.0,0.0126392,0.0128937,528.0,431.0,4.0,358.5,331.0,8.0,7.0
scna-int8,8,32,2,20,1534.0,1534.0,1538.2,1366.0,1366.0,1445.2,2.0,0.0185084,0.0187988,807.5,718.0,4.0,364.5,330.5,8.0,9.0
scna-int8,8,8,2,20,1091.0,1091.0,1103.2,1366.0,1366.0,1445.2,0.0,0.0052965,0.0161996,401.5,308.0,4.0,357.5,301.5,8.0,6.0
