mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,iteration,record_count,profiled_total,q_load,k_load,v_load,qk_dot,safe_sm,core_acc,o_scale,o_store,q_load_pct,k_load_pct,v_load_pct,qk_dot_pct,safe_sm_pct,core_acc_pct,o_scale_pct,o_store_pct
lut-exp,4,4096,12,2,128,10,2,480,2,182,179,2,106,3,2,4,0.4166666666666667,37.916666666666664,37.291666666666664,0.4166666666666667,22.083333333333332,0.625,0.4166666666666667,0.8333333333333334
lut-exp,4,4096,12,2,128,11,2,483,2,179,185,2,107,4,0,4,0.4140786749482402,37.060041407867494,38.302277432712216,0.4140786749482402,22.15320910973085,0.8281573498964804,0.0,0.8281573498964804
lut-exp,4,4096,12,2,128,12,2,510,2,205,186,3,105,4,1,4,0.39215686274509803,40.19607843137255,36.470588235294116,0.5882352941176471,20.588235294117645,0.7843137254901961,0.19607843137254902,0.7843137254901961
lut-exp,4,4096,12,2,128,13,2,483,2,179,189,2,105,3,0,3,0.4140786749482402,37.060041407867494,39.130434782608695,0.4140786749482402,21.73913043478261,0.6211180124223602,0.0,0.6211180124223602
lut-exp,4,4096,12,2,128,14,2,485,2,177,193,2,103,3,1,4,0.4123711340206186,36.49484536082474,39.79381443298969,0.4123711340206186,21.237113402061855,0.6185567010309279,0.2061855670103093,0.8247422680412372
lut-exp,4,4096,12,2,128,15,2,503,2,194,192,2,105,4,0,4,0.3976143141153081,38.56858846918489,38.17097415506958,0.3976143141153081,20.87475149105368,0.7952286282306162,0.0,0.7952286282306162
lut-exp,4,4096,12,2,128,16,2,517,2,192,208,3,104,4,0,4,0.3868471953578337,37.137330754352035,40.232108317214696,0.5802707930367506,20.116054158607348,0.7736943907156674,0.0,0.7736943907156674
lut-exp,4,4096,12,2,128,17,2,501,2,194,189,2,106,4,0,4,0.39920159680638717,38.72255489021956,37.72455089820359,0.39920159680638717,21.157684630738522,0.7984031936127743,0.0,0.7984031936127743
lut-exp,4,4096,12,2,128,18,2,477,2,179,179,3,106,4,0,4,0.41928721174004197,37.526205450733755,37.526205450733755,0.628930817610063,22.22222222222222,0.8385744234800839,0.0,0.8385744234800839
lut-exp,4,4096,12,2,128,19,2,510,2,183,209,2,104,4,2,4,0.39215686274509803,35.88235294117647,40.98039215686274,0.39215686274509803,20.392156862745097,0.7843137254901961,0.39215686274509803,0.7843137254901961
lut-exp,8,4096,12,2,128,0,2,596,4,152,201,7,216,7,1,8,0.6711409395973155,25.503355704697988,33.7248322147651,1.174496644295302,36.241610738255034,1.174496644295302,0.16778523489932887,1.342281879194631
lut-exp,8,4096,12,2,128,1,2,608,4,161,202,7,218,7,2,7,0.6578947368421052,26.480263157894733,33.223684210526315,1.151315789473684,35.85526315789473,1.151315789473684,0.3289473684210526,1.151315789473684
lut-exp,8,4096,12,2,128,2,2,618,4,168,204,7,220,8,1,6,0.6472491909385114,27.184466019417474,33.00970873786408,1.132686084142395,35.59870550161812,1.2944983818770228,0.16181229773462785,0.9708737864077669
lut-exp,8,4096,12,2,128,3,2,643,4,191,207,8,219,7,1,6,0.6220839813374806,29.704510108864696,32.19284603421462,1.244167962674961,34.05909797822706,1.088646967340591,0.15552099533437014,0.9331259720062209
lut-exp,8,4096,12,2,128,4,2,664,4,207,211,8,219,8,1,6,0.6024096385542169,31.17469879518072,31.77710843373494,1.2048192771084338,32.98192771084337,1.2048192771084338,0.15060240963855423,0.9036144578313252
lut-exp,8,4096,12,2,128,5,2,624,4,180,201,8,216,6,1,8,0.641025641025641,28.846153846153843,32.21153846153847,1.282051282051282,34.61538461538461,0.9615384615384616,0.16025641025641024,1.282051282051282
lut-exp,8,4096,12,2,128,6,2,619,4,173,199,7,220,9,1,6,0.6462035541195477,27.948303715670438,32.14862681744749,1.1308562197092082,35.54119547657512,1.4539579967689822,0.16155088852988692,0.9693053311793215
lut-exp,8,4096,12,2,128,7,2,630,4,180,202,8,219,9,1,7,0.6349206349206349,28.57142857142857,32.06349206349206,1.2698412698412698,34.76190476190476,1.4285714285714286,0.15873015873015872,1.1111111111111112
lut-exp,8,4096,12,2,128,8,2,642,4,188,208,7,215,11,1,8,0.6230529595015576,29.283489096573206,32.398753894081,1.0903426791277258,33.48909657320872,1.7133956386292832,0.1557632398753894,1.2461059190031152
